"","text"
"183","Let us continue to embrace the spirit of citizen activism in line with the injunction, Thuma Mina, in the onward march towards equality, freedom and prosperity for all.  #SONA2019 https://t.co/l29hY0JmrN"
"184","We call on student representatives and university authorities to work together to find solutions to the challenges that students are facing. - President Ramaphosa #SONA2019"
"185","#SONAinNumbers on Human Settlements. Here’s what you need to know. #SONA2019 https://t.co/6l7fNoKWMi"
"186","We will improve the quality of services in shelters &amp; ensure they also accommodate members of the  LGBTQI+ community. We will strengthen the national &amp; hotline centre that supports women who experience gender-based violence ensure it is functional. - President Ramaphosa #SONA2019"
"187","The incubation programme currently consists of a network of 51 technology business incubators, 10 enterprise supplier development incubators and 14 rapid youth incubators. - President Ramaphosa #SONA2019"
"188","Agricultural exports are an important source of revenue for our economy, and developing our agricultural sector is key to enhancing our food security and for attracting investment. - President Ramaphosa
   #SONA2019"
"189","Distinguishes Guests in the gallery during the State of the Nation Address. #SONA2019 https://t.co/aghx8V7siQ"
"190","#SONAinNumbers on Tax Incentive. Here’s what you need to know. #SONA2019 https://t.co/i9Lq5hml5o"
"191","Last night I received a call from Minister Gwede Mantashe when he told me that the oil giant Total would be making a big announcement today about a new “world-class” oil and gas discovery off the coast of South Africa. - President Ramaphosa #SONA2019"
"192","South Africa has this year taken up a non-permanent seat in the United Nations Security Council. We will use this position to advance peace on the continent and across the globe, taking forward Nelson Mandela’s vision of a peaceful, stable and just world. #SONA2019 https://t.co/rHJBEaIQ8P"
"193","Strategically located land will be released to address human settlements needs in urban and peri-urban areas. - President Ramaphosa 
   #SONA2019"
"194","With over 700,000 children accessing early childhood education in the last financial year, we have established a firm foundation for a comprehensive ECD programme that is an integral part of the education system. - President Ramaphosa #SONA2019"
"195","$28.82/R399 sexy lingerie for a modern classy woman
Wattsapp+27648235250 
Wedeliverproducts@gmail.com 
#mensconference #Valentinesday #Motivation #thursdaymorning #Thursday #ValentinesDay2019 #IsokaMusicVideo #IKnewIWasAHoeWhen #Marajolang #style #SONA2019 #fashion #FashionWeek https://t.co/gBub6wm7zk"
"196","Sexy saucy lace jumpsuit lingerie €19.39/R300/$21.99
Global shipping 
Wattsapp+27648235250 or Dm
Please retweet
#lingerie #instafashion
#fashion #SONA2019 #Malema #ExpressoShow #BlackHistoryMonth #WomenSupportingWomen #FridayFeeling #sabcnews #Ramaphosa #love #ValentinesDay https://t.co/dIuLfEBJ8M"
"197","Why does it matter if the president sold out Lekota? History and struggle are complex. Shit happens. We are going on a dangerous path here. We are destroying people. #RamaphosaSoldOut #lekota #TerrorLekota #CyrilRamaphosa #SONAdebate #SONA2019 #SONADebate2019"
"198","Trendy suspender pants for melanin woman $35.19/R479/€31
Worldwide shipping 
Wattsapp+27648235250 or Dm
#fashion #vogueworld #Fashionista #instafashion #artist #Sona2019 #NewProfilePic #BlackTwitterMovement #BeingBonang #BeingMaryJane #GirlTalkZA #FridayMotivation #ThumaMina https://t.co/uYHxJr5KdD"
"199","@Posh_SA Its lit. When Malema said our president is afraid of white people eish #SONADebate #SONA2019"
"200","Please retweet and follow us on Instagram @sophiemstoreonline 
Wattsapp+27648235250 
We sell #hair #bikini #lingerie 
#MenConference2019 #Cameroon #ojewakeng #fashion #love #EFFRedFridays2019 #TheBachelorSA #SONA2019 #vogueworld #Valentines #TheQueenMzansi #FridayFeeling https://t.co/M1ff8ZwcAm"
"201","In the next week, Finance Minister Tito Mboweni will unpack the
financial plan when he delivers his Budget Speech.  Through the
departmental budget votes, Ministers will unpack their operational plans that
will give effect to the President’s SoNA #PostCabinet #SoNA2019"
"202","President Ramaphosa reflected on the progress made in the past year. #PostCabinet #SoNA2019"
"203","These included the continuation of intervention measures to accelerate
inclusive economic growth and create jobs; improve our education system and
develop the skills for the future and step up the fight against corruption and
state capture #PostCabinet #SoNA2019"
"204","#MYANC #GrowSouthAfrica #ThumaMina #sona2019 #PeoplesManifesto #westerncape 1 @ ANC WC Provincial Office https://t.co/HObXHksp9J"
"205","Calling all #CPFs, victims of crime &amp; crime fighter join us on Friday 15th February 10am #OccupyWalesStreet. Come tell @helenzille about real #sona2019. We want safer secure communities .… https://t.co/qCjaaWYXWb"
"206","#ViewonAfrica: Eskom will be divided into 3 components. Is this the first step towards possible privatisation? #SONA2019 https://t.co/TAgWA310Dh https://t.co/2UCSVEQ3EJ"
"207","New | SA's 2019 elections will be hugely important for Ramaphosa and the ANC. #ViewonAfrica #SONA2019 https://t.co/TAgWA310Dh https://t.co/3zX7JqR4GH"
"208","New: Ramaphosa’s #SONA2019 address was music to South Africa’s ears, but can he deliver? #ViewonAfrica by @JakkieCilliers https://t.co/TAgWA310Dh https://t.co/YbOQxjo2a5"
"209","Eskom will be divided into 3 components. Is this the first step towards possible privatisation? #SONA2019 #ViewonAfrica https://t.co/TAgWA310Dh https://t.co/XRZffSk84W"
"210","New | SA's 2019 elections will be hugely important for Ramaphosa and the ANC. #ViewonAfrica #SONA2019 https://t.co/TAgWA310Dh https://t.co/pyL5S65fIs"
"211","Top view &gt; Ramaphosa's main challenge is addressing the current government's limited capacity. #SONA2019 https://t.co/TAgWA2JpeH https://t.co/FrNUFIvUei"
"212","Top view &gt; #SONA2019 – great expectations. #ViewonAfrica @JakkieCilliers https://t.co/TAgWA310Dh https://t.co/KAs0wJrxTT"
"213","Top view &gt; Eskom will be divided into 3 components. Is this the first step towards possible privatisation? #SONA2019 #ViewonAfrica https://t.co/TAgWA310Dh https://t.co/RUlucWW9kf"
"214","Top view &gt; Ramaphosa’s #SONA2019 address was music to South Africa’s ears, but can he deliver? @JakkieCilliers for #ViewonAfrica https://t.co/TAgWA2JpeH https://t.co/gRvONu2YQr"
"215","New: Ramaphosa’s #SONA2019 address was music to South Africa’s ears, but can he deliver? #ViewonAfrica https://t.co/TAgWA310Dh https://t.co/x6lwIgkVVP"
"216","Ramaphosa’s #SONA2019 address was music to South Africa’s ears, but can he deliver? #ViewonAfrica by @JakkieCilliers https://t.co/TAgWA2JpeH https://t.co/i2FwVHj5h6"
"217","New: Ramaphosa’s #SONA2019 address was music to South Africa’s ears, but can he deliver? #ViewonAfrica by @JakkieCilliers https://t.co/TAgWA310Dh https://t.co/b8batu3aWP"
"218","SA's 2019 elections will be hugely important for Ramaphosa and the ANC. #ViewonAfrica #SONA2019 https://t.co/TAgWA2JpeH https://t.co/QU4eNWX6QU"
"219","New #ViewonAfrica video:   #SONA2019 – great expectations https://t.co/TAgWA2JpeH https://t.co/hQOWcWwJk6"
"220","Eskom will be divided into 3 components. Is this the first step towards privatisation? #SONA2019 #ViewonAfrica https://t.co/TAgWA310Dh https://t.co/HOHoZH69FW"
"221","New: Ramaphosa’s #SONA2019 address was music to South Africa’s ears, but can he deliver? @JakkieCilliers for #ViewonAfrica https://t.co/TAgWA310Dh https://t.co/CLwAR1oMQY"
"222","New #ViewonAfrica video: #SONA2019 – great expectations https://t.co/TAgWA2JpeH https://t.co/NzFv1JiYqM"
"223","@Fezile05 @MasekoThembaJ Speech had both Decorum n substance. U r right bout the #Bosasa scandal.@CyrilRamaphosa hasn't addressed his role entirely. I'm glad that @EFFSouthAfrica didn't heckle him in the #SONA2019 but, I hope that sum1 frm o parties incl EFF uses q&amp;a sess 2 seek clarity on #Bosasa issue"
